"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"240",3,FALSE,FALSE,5,"B2",49,0.384615384615385,0.171314741035857
"241",1,TRUE,TRUE,6,"B2",11,0.304347826086957,0.0466321243523316
"242",2,TRUE,TRUE,6,"B2",21,0.27027027027027,0.0282101167315175
"243",3,TRUE,TRUE,6,"B2",18,0.153846153846154,-0.04
"244",1,FALSE,TRUE,6,"B2",11,0.108695652173913,-0.209749839640795
"245",2,FALSE,TRUE,6,"B2",21,0.351351351351351,0.138700290979631
"246",3,FALSE,TRUE,6,"B2",18,0.153846153846154,-0.11284046692607
"247",1,TRUE,FALSE,6,"B2",49,0.260869565217391,0.0261519302615193
"248",2,TRUE,FALSE,6,"B2",49,0.216216216216216,-0.0377176015473888
"249",3,TRUE,FALSE,6,"B2",49,0.115384615384615,-0.0852994555353902
"250",1,FALSE,FALSE,6,"B2",49,0.326086956521739,0.0882352941176471
"251",2,FALSE,FALSE,6,"B2",49,0.162162162162162,-0.106075216972035
"252",3,FALSE,FALSE,6,"B2",49,0.230769230769231,-0.0590631364562118
"253",1,TRUE,TRUE,7,"B2",11,0.195652173913043,-0.111691704768125
"254",2,TRUE,TRUE,7,"B2",21,0.27027027027027,0.0244140625
"255",3,TRUE,TRUE,7,"B2",18,0.115384615384615,-0.200803212851406
"256",1,FALSE,TRUE,7,"B2",11,0.260869565217391,0.00635324015247775
"257",2,FALSE,TRUE,7,"B2",21,0.297297297297297,0.0642023346303502
"258",3,FALSE,TRUE,7,"B2",18,0.269230769230769,0.0426356589147286
"259",1,TRUE,FALSE,7,"B2",49,0.239130434782609,0.0116635972989564
"260",2,TRUE,FALSE,7,"B2",49,0.27027027027027,0.0366441658630665
"261",3,TRUE,FALSE,7,"B2",49,0.230769230769231,-0.01364522417154
"262",1,FALSE,FALSE,7,"B2",49,0.282608695652174,0.00589390962671904
"263",2,FALSE,FALSE,7,"B2",49,0.162162162162162,-0.0630213160333642
"264",3,FALSE,FALSE,7,"B2",49,0.346153846153846,0.133333333333333
"265",1,TRUE,TRUE,8,"B2",11,0.260869565217391,-0.0371352785145888
"266",2,TRUE,TRUE,8,"B2",21,0.378378378378378,0.0668859649122807
"267",3,TRUE,TRUE,8,"B2",18,0.115384615384615,-0.105360443622921
"268",1,FALSE,TRUE,8,"B2",11,0.173913043478261,-0.130659767141009
"269",2,FALSE,TRUE,8,"B2",21,0.27027027027027,-0.0162767039674466
"270",3,FALSE,TRUE,8,"B2",18,0.307692307692308,0.0894941634241245
"271",1,TRUE,FALSE,8,"B2",49,0.239130434782609,-0.0222222222222222
"272",2,TRUE,FALSE,8,"B2",49,0.297297297297297,0.0758885686839577
"273",3,TRUE,FALSE,8,"B2",49,0.461538461538462,0.212121212121212
"274",1,FALSE,FALSE,8,"B2",49,0.239130434782609,-0.0241730279898219
