"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"76",588824402,"1-ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,76
"77",817867447,"1-ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,77
"78",1229953753,"1-ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,78
"79",588824402,"epdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,79
"80",817867447,"epdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,80
"81",1229953753,"epdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,81
"82",588824402,"epdf_scaled",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,82
"83",817867447,"epdf_scaled",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,83
"84",1229953753,"epdf_scaled",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,84
"85",588824402,"ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,85
"86",817867447,"ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,86
"87",1229953753,"ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,87
"88",588824402,"1-ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,88
"89",817867447,"1-ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,89
"90",1229953753,"1-ecdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,90
"91",588824402,"epdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,91
"92",817867447,"epdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,92
"93",1229953753,"epdf",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,93
"94",588824402,"epdf_scaled",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,94
"95",817867447,"epdf_scaled",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,95
"96",1229953753,"epdf_scaled",FALSE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,96
"97",588824402,"ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,97
"98",817867447,"ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,98
"99",1229953753,"ecdf",TRUE,TRUE,"density_scaled",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,99
